,,,,,,,,,,,,Scoring,Scoring,Scoring,Scoring,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,Point Shares,Point Shares,Point Shares,Point Shares
5,Tim Thomas\thomati01,36,BOS,G,171,13.57,1,5,15,12,15,0,3,3,0,35,11,9,2.00,.938,0.0,0.0,16.2,16.2
6,Jonathan Toews\toewsjo01,22,CHI,C,107,8.49,0,2,7,15,13,32,44,76,25,,,,,,7.1,2.7,0.0,9.8
7,Carey Price\priceca01,23,MTL,G,90,7.14,2,0,10,4,8,0,2,2,0,38,28,6,2.35,.923,0.0,0.0,15.4,15.4
8,Ryan Kesler\keslery01,26,VAN,C,69,5.48,1,3,4,5,3,41,32,73,24,,,,,,7.6,2.7,0.0,10.4
9,Marc-Andre Fleury\fleurma01,26,PIT,G,58,4.60,1,3,1,6,4,0,1,1,0,36,20,5,2.32,.918,0.0,0.0,11.4,11.4
10,Henrik Sedin\sedinhe01,30,VAN,C,57,4.52,0,1,3,8,4,19,75,94,26,,,,,,7.8,2.7,0.0,10.5
11,Steven Stamkos\stamkst01,20,TBL,C,41,3.25,0,0,2,9,4,45,46,91,3,,,,,,10.1,2.0,0.0,12.2
12,Jarome Iginla\iginlja01,33,CGY,RW,31,2.46,0,1,1,4,7,43,43,86,0,,,,,,9.2,1.8,0.0,11.0
13,Zdeno Chara\charazd01,33,BOS,D,23,1.83,0,0,2,4,1,14,30,44,33,,,,,,4.0,6.0,0.0,10.0
14,Alex Ovechkin\ovechal01,25,WSH,LW,19,1.51,0,0,0,4,7,32,53,85,24,,,,,,8.1,3.0,0.0,11.1
14,Henrik Lundqvist\lundqhe01,28,NYR,G,19,1.51,0,0,1,2,8,0,4,4,0,36,27,5,2.28,.923,0.0,0.0,14.0,14.0
16,Henrik Zetterberg\zettehe01,30,DET,LW,16,1.27,0,0,2,1,3,24,56,80,-1,,,,,,6.8,1.4,0.0,8.2
17,Roberto Luongo\luongro01,31,VAN,G,15,1.19,1,0,1,0,0,0,3,3,0,38,15,7,2.11,.928,0.0,0.0,13.6,13.6
18,Ilya Bryzgalov\bryzgil01,30,PHX,G,13,1.03,0,0,2,0,3,0,0,0,0,36,20,10,2.48,.921,0.0,0.0,14.7,14.7
19,Nicklas Lidstrom\lidstni01,40,DET,D,11,0.87,0,0,2,0,1,16,46,62,-2,,,,,,6.2,3.3,0.0,9.5
20,Sidney Crosby\crosbsi01,23,PIT,C,5,0.40,0,0,1,0,0,32,34,66,20,,,,,,8.2,1.9,0.0,10.1
20,Ryan Getzlaf\getzlry01,25,ANA,C,5,0.40,0,0,1,0,0,19,57,76,14,,,,,,6.1,2.3,0.0,8.4
20,Kris Letang\letankr01,23,PIT,D,5,0.40,0,0,1,0,0,8,42,50,15,,,,,,4.1,5.7,0.0,9.8
23,Chris Pronger\prongch01,36,PHI,D,3,0.24,0,0,0,1,0,4,21,25,7,,,,,,1.9,2.3,0.0,4.2
23,Lubomir Visnovsky\visnolu01,34,ANA,D,3,0.24,0,0,0,1,0,18,50,68,18,,,,,,7.0,5.8,0.0,12.8
25,Shea Weber\webersh01,25,NSH,D,2,0.16,0,0,0,0,2,16,32,48,7,,,,,,4.6,5.5,0.0,10.1
26,Patrick Marleau\marlepa01,31,SJS,C,1,0.08,0,0,0,0,1,37,36,73,-3,,,,,,7.1,1.7,0.0,8.8
26,Ryan Miller\millery01,30,BUF,G,1,0.08,0,0,0,0,1,0,2,2,0,34,22,8,2.59,.916,0.0,0.0,12.4,12.4
26,Keith Yandle\yandlke01,24,PHX,D,1,0.08,0,0,0,0,1,11,48,59,12,,,,,,5.4,4.5,0.0,9.9
1,Henrik Sedin\sedinhe01,29,VAN,C,894,67.22,46,34,27,19,4,29,83,112,35,,,,,,10.6,2.9,0.0,13.5
2,Alex Ovechkin\ovechal01,24,WSH,LW,834,62.71,40,35,22,22,13,50,59,109,45,,,,,,13.0,2.5,0.0,15.6
3,Sidney Crosby\crosbsi01,22,PIT,C,729,54.81,20,35,38,29,7,51,58,109,15,,,,,,12.2,2.4,0.0,14.7
4,Ryan Miller\millery01,29,BUF,G,505,37.97,13,22,24,27,20,0,0,0,0,41,18,8,2.22,.929,0.0,0.0,16.8,16.8
5,Ilya Bryzgalov\bryzgil01,29,PHX,G,354,26.62,13,6,17,22,31,0,1,1,0,42,20,6,2.29,.920,0.0,0.0,13.9,13.9
6,Steven Stamkos\stamkst01,19,TBL,C,28,2.11,0,0,2,3,9,51,44,95,-2,,,,,,10.9,1.9,0.0,12.8
7,Patrick Kane\kanepa01,21,CHI,RW,17,1.28,0,1,0,2,4,30,58,88,16,,,,,,8.1,2.2,0.0,10.3
8,Martin Brodeur\brodema01,37,NJD,G,16,1.20,0,0,2,0,6,0,3,3,0,45,25,6,2.24,.916,0.0,0.0,13.2,13.2
9,Craig Anderson\andercr01,28,COL,G,10,0.75,1,0,0,0,0,0,3,3,0,38,25,7,2.63,.917,0.0,0.0,14.8,14.8
9,Patrick Marleau\marlepa01,30,SJS,C,10,0.75,0,0,0,3,1,44,39,83,21,,,,,,8.8,2.6,0.0,11.4
9,Nicklas Backstrom\backsni02,22,WSH,C,10,0.75,0,0,0,2,4,33,68,101,37,,,,,,10.0,2.2,0.0,12.2
12,Joe Thornton\thornjo01,30,SJS,C,9,0.68,0,0,0,1,6,20,69,89,17,,,,,,7.3,2.2,0.0,9.6
13,Zach Parise\parisza01,25,NJD,C,7,0.53,0,0,1,0,2,38,44,82,24,,,,,,8.4,3.1,0.0,11.5
14,Mike Green\greenmi03,24,WSH,D,5,0.38,0,0,0,1,2,19,57,76,39,,,,,,8.2,4.8,0.0,13.0
15,Zdeno Chara\charazd01,32,BOS,D,3,0.23,0,0,0,1,0,7,37,44,19,,,,,,3.1,7.2,0.0,10.2
15,Duncan Keith\keithdu01,26,CHI,D,3,0.23,0,0,0,0,3,14,55,69,21,,,,,,6.3,6.2,0.0,12.6
17,Drew Doughty\doughdr01,20,LAK,D,2,0.15,0,0,0,0,2,16,43,59,20,,,,,,5.6,6.2,0.0,11.9
17,Marian Gaborik\gaborma01,27,NYR,RW,2,0.15,0,0,0,0,2,42,44,86,15,,,,,,9.4,2.6,0.0,12.1
17,Anze Kopitar\kopitan01,22,LAK,C,2,0.15,0,0,0,0,2,34,47,81,6,,,,,,7.2,2.2,0.0,9.5
17,Nicklas Lidstrom\lidstni01,39,DET,D,2,0.15,0,0,0,0,2,9,40,49,22,,,,,,3.8,6.9,0.0,10.7
17,Tuukka Rask\rasktu01,22,BOS,G,2,0.15,0,0,0,0,2,0,3,3,0,22,12,5,1.97,.931,0.0,0.0,10.2,10.2
17,Martin St. Louis\stlouma01,34,TBL,RW,2,0.15,0,0,0,0,2,29,65,94,-8,,,,,,8.1,1.8,0.0,9.9
23,Henrik Lundqvist\lundqhe01,27,NYR,G,1,0.08,0,0,0,0,1,0,1,1,0,35,27,10,2.38,.921,0.0,0.0,15.0,15.0
23,Evgeni Nabokov\nabokev01,34,SJS,G,1,0.08,0,0,0,0,1,0,0,0,0,44,16,10,2.43,.922,0.0,0.0,15.6,15.6
23,Chris Pronger\prongch01,35,PHI,D,1,0.08,0,0,0,0,1,10,45,55,22,,,,,,4.6,6.8,0.0,11.4
23,Paul Stastny\stastpa01,24,COL,C,1,0.08,0,0,0,0,1,20,59,79,2,,,,,,5.6,1.8,0.0,7.4
23,Tomas Vokoun\vokouto01,33,FLA,G,1,0.08,0,0,0,0,1,0,2,2,0,23,28,11,2.55,.925,0.0,0.0,15.7,15.7
23,Shea Weber\webersh01,24,NSH,D,1,0.08,0,0,0,0,1,16,27,43,0,,,,,,4.3,3.9,0.0,8.2
23,Henrik Zetterberg\zettehe01,29,DET,LW,1,0.08,0,0,0,0,1,23,47,70,12,,,,,,5.8,2.4,0.0,8.2
1,Henrik Sedin\sedinhe01,29,VAN,C,894,67.22,46,34,27,19,4,29,83,112,35,,,,,,10.6,2.9,0.0,13.5
2,Alex Ovechkin\ovechal01,24,WSH,LW,834,62.71,40,35,22,22,13,50,59,109,45,,,,,,13.0,2.5,0.0,15.6
3,Sidney Crosby\crosbsi01,22,PIT,C,729,54.81,20,35,38,29,7,51,58,109,15,,,,,,12.2,2.4,0.0,14.7
4,Ryan Miller\millery01,29,BUF,G,505,37.97,13,22,24,27,20,0,0,0,0,41,18,8,2.22,.929,0.0,0.0,16.8,16.8
5,Ilya Bryzgalov\bryzgil01,29,PHX,G,354,26.62,13,6,17,22,31,0,1,1,0,42,20,6,2.29,.920,0.0,0.0,13.9,13.9
6,Steven Stamkos\stamkst01,19,TBL,C,28,2.11,0,0,2,3,9,51,44,95,-2,,,,,,10.9,1.9,0.0,12.8
7,Patrick Kane\kanepa01,21,CHI,RW,17,1.28,0,1,0,2,4,30,58,88,16,,,,,,8.1,2.2,0.0,10.3
8,Martin Brodeur\brodema01,37,NJD,G,16,1.20,0,0,2,0,6,0,3,3,0,45,25,6,2.24,.916,0.0,0.0,13.2,13.2
9,Craig Anderson\andercr01,28,COL,G,10,0.75,1,0,0,0,0,0,3,3,0,38,25,7,2.63,.917,0.0,0.0,14.8,14.8
9,Patrick Marleau\marlepa01,30,SJS,C,10,0.75,0,0,0,3,1,44,39,83,21,,,,,,8.8,2.6,0.0,11.4
9,Nicklas Backstrom\backsni02,22,WSH,C,10,0.75,0,0,0,2,4,33,68,101,37,,,,,,10.0,2.2,0.0,12.2
12,Joe Thornton\thornjo01,30,SJS,C,9,0.68,0,0,0,1,6,20,69,89,17,,,,,,7.3,2.2,0.0,9.6
13,Zach Parise\parisza01,25,NJD,C,7,0.53,0,0,1,0,2,38,44,82,24,,,,,,8.4,3.1,0.0,11.5
14,Mike Green\greenmi03,24,WSH,D,5,0.38,0,0,0,1,2,19,57,76,39,,,,,,8.2,4.8,0.0,13.0
15,Zdeno Chara\charazd01,32,BOS,D,3,0.23,0,0,0,1,0,7,37,44,19,,,,,,3.1,7.2,0.0,10.2
15,Duncan Keith\keithdu01,26,CHI,D,3,0.23,0,0,0,0,3,14,55,69,21,,,,,,6.3,6.2,0.0,12.6
17,Drew Doughty\doughdr01,20,LAK,D,2,0.15,0,0,0,0,2,16,43,59,20,,,,,,5.6,6.2,0.0,11.9
17,Marian Gaborik\gaborma01,27,NYR,RW,2,0.15,0,0,0,0,2,42,44,86,15,,,,,,9.4,2.6,0.0,12.1
17,Anze Kopitar\kopitan01,22,LAK,C,2,0.15,0,0,0,0,2,34,47,81,6,,,,,,7.2,2.2,0.0,9.5
17,Nicklas Lidstrom\lidstni01,39,DET,D,2,0.15,0,0,0,0,2,9,40,49,22,,,,,,3.8,6.9,0.0,10.7
17,Tuukka Rask\rasktu01,22,BOS,G,2,0.15,0,0,0,0,2,0,3,3,0,22,12,5,1.97,.931,0.0,0.0,10.2,10.2
17,Martin St. Louis\stlouma01,34,TBL,RW,2,0.15,0,0,0,0,2,29,65,94,-8,,,,,,8.1,1.8,0.0,9.9
23,Henrik Lundqvist\lundqhe01,27,NYR,G,1,0.08,0,0,0,0,1,0,1,1,0,35,27,10,2.38,.921,0.0,0.0,15.0,15.0
23,Evgeni Nabokov\nabokev01,34,SJS,G,1,0.08,0,0,0,0,1,0,0,0,0,44,16,10,2.43,.922,0.0,0.0,15.6,15.6
23,Chris Pronger\prongch01,35,PHI,D,1,0.08,0,0,0,0,1,10,45,55,22,,,,,,4.6,6.8,0.0,11.4
23,Paul Stastny\stastpa01,24,COL,C,1,0.08,0,0,0,0,1,20,59,79,2,,,,,,5.6,1.8,0.0,7.4
23,Tomas Vokoun\vokouto01,33,FLA,G,1,0.08,0,0,0,0,1,0,2,2,0,23,28,11,2.55,.925,0.0,0.0,15.7,15.7
23,Shea Weber\webersh01,24,NSH,D,1,0.08,0,0,0,0,1,16,27,43,0,,,,,,4.3,3.9,0.0,8.2
23,Henrik Zetterberg\zettehe01,29,DET,LW,1,0.08,0,0,0,0,1,23,47,70,12,,,,,,5.8,2.4,0.0,8.2
1,Alex Ovechkin\ovechal01,23,WSH,LW,1264,95.04,115,14,2,2,0,56,54,110,8,,,,,,12.5,2.0,0.0,14.5
2,Evgeni Malkin\malkiev01,22,PIT,C,787,59.17,12,71,27,9,8,35,78,113,17,,,,,,10.2,2.4,0.0,12.6
3,Pavel Datsyuk\datsypa01,30,DET,C,404,30.38,4,14,38,19,19,32,65,97,34,,,,,,8.9,2.6,0.0,11.5
4,Steve Mason\masonst01,20,CBJ,G,266,20.00,0,13,21,18,16,0,0,0,0,33,20,7,2.29,.916,0.0,0.0,11.2,11.2
5,Zach Parise\parisza01,24,NJD,LW,257,19.32,0,5,20,31,29,45,49,94,30,,,,,,9.9,2.9,0.0,12.8
6,Sidney Crosby\crosbsi01,21,PIT,C,103,7.74,0,3,5,13,18,33,70,103,3,,,,,,9.4,1.7,0.0,11.1
7,Tim Thomas\thomati01,34,BOS,G,100,7.52,0,3,9,7,13,0,1,1,0,36,11,7,2.10,.933,0.0,0.0,14.7,14.7
8,Zdeno Chara\charazd01,31,BOS,D,79,5.94,2,3,2,8,4,19,31,50,23,,,,,,4.8,5.7,0.0,10.5
9,Joe Thornton\thornjo01,29,SJS,C,27,2.03,0,2,1,2,2,25,61,86,16,,,,,,6.8,2.7,0.0,9.5
10,Roberto Luongo\luongro01,29,VAN,G,19,1.43,0,2,0,1,2,0,1,1,0,33,13,7,2.34,.920,0.0,0.0,11.1,11.1
10,Jeff Carter\carteje01,24,PHI,C,19,1.43,0,1,0,2,6,46,38,84,23,,,,,,9.2,2.5,0.0,11.7
10,Jarome Iginla\iginlja01,31,CGY,RW,19,1.43,0,0,2,2,3,35,54,89,-2,,,,,,7.8,1.7,0.0,9.5
13,Rick Nash\nashri01,24,CBJ,LW,13,0.98,0,0,1,2,2,40,39,79,11,,,,,,7.9,2.2,0.0,10.1
13,Mike Green\greenmi03,23,WSH,D,13,0.98,0,0,2,1,0,31,42,73,24,,,,,,9.0,4.9,0.0,13.9
15,Ryan Getzlaf\getzlry01,23,ANA,C,11,0.83,0,0,1,2,0,25,66,91,5,,,,,,7.3,1.9,0.0,9.2
16,Evgeni Nabokov\nabokev01,33,SJS,G,8,0.60,0,0,1,1,0,0,1,1,0,41,12,8,2.44,.910,0.0,0.0,10.2,10.2
17,Nicklas Lidstrom\lidstni01,38,DET,D,7,0.53,0,0,1,0,0,16,43,59,31,,,,,,5.5,5.7,0.0,11.2
17,Patrick Marleau\marlepa01,29,SJS,LW,7,0.53,0,0,0,2,1,38,33,71,16,,,,,,6.5,2.7,0.0,9.2
17,Cam Ward\wardca01,24,CAR,G,7,0.53,0,0,0,2,1,0,1,1,0,39,23,5,2.44,.916,0.0,0.0,12.9,12.9
20,Miikka Kiprusoff\kiprumi01,32,CGY,G,6,0.45,0,0,0,2,0,0,3,3,0,45,24,5,2.84,.903,0.0,0.0,11.5,11.5
20,Henrik Zetterberg\zettehe01,28,DET,C,6,0.45,0,0,0,1,3,31,42,73,13,,,,,,6.4,1.7,0.0,8.1
22,Chris Mason\masonch02,32,STL,G,4,0.30,0,0,0,1,1,0,1,1,0,27,21,7,2.41,.916,0.0,0.0,10.6,10.6
22,Eric Staal\staaler01,24,CAR,C,4,0.30,0,0,0,1,1,40,35,75,15,,,,,,7.1,2.7,0.0,9.8
24,Dan Boyle\boyleda01,32,SJS,D,3,0.23,0,0,0,1,0,16,41,57,6,,,,,,5.2,5.3,0.0,10.6
24,Marian Hossa\hossama01,30,DET,RW,3,0.23,0,0,0,1,0,40,31,71,27,,,,,,7.7,2.1,0.0,9.9
26,Mike Richards\richami02,23,PHI,C,1,0.08,0,0,0,0,1,30,50,80,22,,,,,,7.0,2.4,0.0,9.4
26,Marc Savard\savarma01,31,BOS,C,1,0.08,0,0,0,0,1,25,63,88,25,,,,,,7.3,2.5,0.0,9.8
1,Alex Ovechkin\ovechal01,22,WSH,LW,1313,97.99,128,4,1,0,0,65,47,112,28,,,,,,14.1,3.1,0.0,17.2
2,Evgeni Malkin\malkiev01,21,PIT,C,659,49.18,1,66,27,13,13,47,59,106,16,,,,,,11.5,2.4,0.0,13.9
3,Jarome Iginla\iginlja01,30,CGY,RW,565,42.16,2,41,33,26,15,50,48,98,27,,,,,,11.3,2.9,0.0,14.2
4,Nicklas Lidstrom\lidstni01,37,DET,D,246,18.36,2,7,17,24,20,10,60,70,40,,,,,,6.4,8.1,0.0,14.4
5,Martin Brodeur\brodema01,35,NJD,G,239,17.84,1,8,19,21,15,0,4,4,0,44,27,6,2.17,.920,0.0,0.0,15.5,15.5
6,Joe Thornton\thornjo01,28,SJS,C,157,11.72,0,3,16,14,14,29,67,96,18,,,,,,8.6,3.3,0.0,11.9
7,Evgeni Nabokov\nabokev01,32,SJS,G,109,8.13,0,1,12,9,15,0,2,2,0,46,21,8,2.14,.910,0.0,0.0,11.2,11.2
8,Alex Kovalev\kovalal01,34,MTL,RW,94,7.01,0,1,5,15,17,35,49,84,18,,,,,,8.4,2.4,0.0,10.8
9,Pavel Datsyuk\datsypa01,29,DET,C,43,3.21,0,1,2,7,5,31,66,97,41,,,,,,8.8,3.7,0.0,12.6
10,Henrik Zetterberg\zettehe01,27,DET,LW,17,1.27,0,0,2,1,4,43,49,92,30,,,,,,9.9,3.2,0.0,13.0
11,Marian Gaborik\gaborma01,25,MIN,RW,9,0.67,0,0,0,2,3,42,41,83,17,,,,,,9.2,2.5,0.0,11.6
12,Roberto Luongo\luongro01,28,VAN,G,7,0.52,0,1,0,0,0,0,3,3,0,35,29,9,2.38,.917,0.0,0.0,14.4,14.4
12,Dion Phaneuf\phanedi01,22,CGY,D,7,0.52,0,1,0,0,0,17,43,60,12,,,,,,6.1,5.1,0.0,11.2
14,Zdeno Chara\charazd01,30,BOS,D,4,0.30,0,0,0,1,1,17,34,51,14,,,,,,5.1,5.4,0.0,10.5
14,Ilya Kovalchuk\kovalil01,24,ATL,LW,4,0.30,0,0,0,1,1,52,35,87,-12,,,,,,10.7,1.3,0.0,12.0
16,Daniel Alfredsson\alfreda01,35,OTT,RW,3,0.22,0,0,0,0,3,40,49,89,15,,,,,,9.7,1.8,0.0,11.5
17,Sidney Crosby\crosbsi01,20,PIT,C,2,0.15,0,0,0,0,2,24,48,72,18,,,,,,7.2,1.9,0.0,9.0
17,Sergei Gonchar\gonchse01,33,PIT,D,2,0.15,0,0,0,0,2,12,53,65,13,,,,,,6.0,5.2,0.0,11.1
17,Vincent Lecavalier\lecavvi01,27,TBL,C,2,0.15,0,0,0,0,2,40,52,92,-17,,,,,,9.1,1.6,0.0,10.7
17,Scott Niedermayer\niedesc01,34,ANA,D,2,0.15,0,0,0,0,2,8,17,25,-2,,,,,,2.3,2.7,0.0,5.0
1,Sidney Crosby\crosbsi01,19,PIT,C,1225,85.66,91,34,14,2,1,36,84,120,10,,,,,,11.3,2.0,0.0,13.3
2,Roberto Luongo\luongro01,27,VAN,G,801,56.01,25,46,35,16,6,0,2,2,0,47,22,6,2.28,.921,0.0,0.0,17.1,17.1
3,Martin Brodeur\brodema01,34,NJD,G,763,53.36,21,45,39,12,7,0,1,1,0,48,23,7,2.18,.922,0.0,0.0,17.3,17.3
4,Vincent Lecavalier\lecavvi01,26,TBL,C,362,25.31,5,6,22,48,16,52,56,108,2,,,,,,11.2,2.2,0.0,13.4
5,Joe Thornton\thornjo01,27,SJS,C,230,16.08,0,8,11,27,38,22,92,114,24,,,,,,9.0,3.2,0.0,12.2
6,Nicklas Lidstrom\lidstni01,36,DET,D,53,3.71,1,1,3,4,9,13,49,62,40,,,,,,5.3,7.9,0.0,13.1
7,Scott Niedermayer\niedesc01,33,ANA,D,45,3.15,0,1,3,4,11,15,54,69,6,,,,,,6.1,5.6,0.0,11.7
8,Joe Sakic\sakicjo01,37,COL,C,44,3.08,0,0,4,5,9,36,64,100,2,,,,,,9.1,1.7,0.0,10.8
9,Teemu Selanne\selante01,36,ANA,RW,36,2.52,0,0,2,6,8,48,46,94,26,,,,,,10.3,2.7,0.0,13.0
10,Marian Hossa\hossama01,28,ATL,RW,35,2.45,0,0,3,4,8,43,57,100,18,,,,,,9.9,2.5,0.0,12.4
11,Daniel Briere\brierda01,29,BUF,C,33,2.31,0,2,0,5,4,32,63,95,17,,,,,,8.4,1.6,0.0,10.0
12,Dany Heatley\heatlda01,26,OTT,RW,28,1.96,0,0,2,3,9,50,55,105,31,,,,,,10.8,2.6,0.0,13.4
13,Chris Drury\drurych01,30,BUF,C,14,0.98,0,0,1,2,3,37,32,69,1,,,,,,6.6,0.9,0.0,7.5
14,Martin St. Louis\stlouma01,31,TBL,RW,12,0.84,0,0,1,2,1,43,59,102,7,,,,,,9.2,2.6,0.0,11.8
15,Jarome Iginla\iginlja01,29,CGY,RW,10,0.70,0,0,0,2,4,39,55,94,12,,,,,,9.2,1.9,0.0,11.1
16,Paul Kariya\kariypa01,32,NSH,LW,5,0.35,0,0,1,0,0,24,52,76,6,,,,,,5.4,1.8,0.0,7.2
16,Daniel Alfredsson\alfreda01,34,OTT,RW,5,0.35,0,0,1,0,0,29,58,87,42,,,,,,7.0,3.0,0.0,10.0
16,Brendan Shanahan\shanabr01,38,NYR,LW,5,0.35,0,0,1,0,0,29,33,62,2,,,,,,5.5,1.7,0.0,7.2
19,Jaromir Jagr\jagrja01,34,NYR,RW,3,0.21,0,0,0,1,0,30,66,96,26,,,,,,7.8,3.2,0.0,11.0
20,Marian Gaborik\gaborma01,24,MIN,RW,2,0.14,0,0,0,0,2,30,27,57,12,,,,,,6.3,1.8,0.0,8.1
20,Ryan Miller\millery01,26,BUF,G,2,0.14,0,0,0,0,2,0,2,2,0,40,16,6,2.73,.911,0.0,0.0,12.7,12.7
22,Dominik Hasek\hasekdo01,42,DET,G,1,0.07,0,0,0,0,1,0,2,2,0,38,11,6,2.05,.913,0.0,0.0,9.1,9.1
22,Henrik Lundqvist\lundqhe01,24,NYR,G,1,0.07,0,0,0,0,1,0,0,0,0,37,22,8,2.34,.917,0.0,0.0,14.3,14.3
22,Thomas Vanek\vanekth01,23,BUF,LW,1,0.07,0,0,0,0,1,43,41,84,47,,,,,,8.9,2.7,0.0,11.6
22,Alex Ovechkin\ovechal01,21,WSH,LW,1,0.07,0,0,0,0,1,46,46,92,-19,,,,,,9.6,0.9,0.0,10.5
22,Chris Pronger\prongch01,32,ANA,D,1,0.07,0,0,0,0,1,13,46,59,27,,,,,,5.3,6.4,0.0,11.7
1,Joe Thornton\thornjo01,26,TOT,C,1058,82.02,67,48,9,1,4,29,96,125,31,,,,,,10.2,3.1,0.0,13.3
2,Jaromir Jagr\jagrja01,33,NYR,RW,974,75.50,48,49,30,0,1,54,69,123,34,,,,,,12.1,3.4,0.0,15.5
3,Miikka Kiprusoff\kiprumi01,29,CGY,G,561,43.49,10,24,45,20,8,0,2,2,0,42,20,11,2.07,.923,0.0,0.0,16.2,16.2
4,Eric Staal\staaler01,21,CAR,C,121,9.38,0,0,9,18,22,45,55,100,-8,,,,,,9.8,1.3,0.0,11.1
5,Daniel Alfredsson\alfreda01,33,OTT,RW,119,9.22,0,2,6,20,15,43,60,103,29,,,,,,9.7,2.6,0.0,12.3
6,Alex Ovechkin\ovechal01,20,WSH,LW,109,8.45,1,0,8,14,17,52,54,106,2,,,,,,11.0,1.6,0.0,12.7
7,Nicklas Lidstrom\lidstni01,35,DET,D,106,8.22,1,2,7,12,11,16,64,80,21,,,,,,6.8,6.1,0.0,12.9
8,Scott Niedermayer\niedesc01,32,MDA,D,66,5.12,1,0,2,13,7,13,50,63,8,,,,,,5.0,5.0,0.0,10.0
9,Henrik Lundqvist\lundqhe01,23,NYR,G,46,3.57,0,2,4,2,6,0,2,2,0,30,12,9,2.24,.922,0.0,0.0,12.2,12.2
10,Rod Brind'Amour\brindro01,35,CAR,C,33,2.56,0,1,3,3,2,31,39,70,8,,,,,,4.5,2.2,0.0,6.8
10,Dany Heatley\heatlda01,25,OTT,LW,33,2.56,0,0,3,4,6,50,53,103,29,,,,,,10.2,2.7,0.0,12.9
12,Martin Brodeur\brodema01,33,NJD,G,22,1.71,0,0,0,6,4,0,3,3,0,43,23,7,2.57,.911,0.0,0.0,14.9,14.9
13,Brian Gionta\giontbr01,27,NJD,RW,18,1.40,0,0,1,2,7,48,41,89,18,,,,,,8.5,2.9,0.0,11.4
13,Teemu Selanne\selante01,35,MDA,RW,18,1.40,0,0,0,5,3,40,50,90,28,,,,,,8.7,2.7,0.0,11.4
15,Jonathan Cheechoo\cheecjo01,25,SJS,RW,16,1.24,0,1,0,2,3,56,37,93,23,,,,,,10.0,2.7,0.0,12.7
16,Tomas Vokoun\vokouto01,29,NSH,G,13,1.01,1,0,0,0,3,0,2,2,0,36,18,7,2.67,.919,0.0,0.0,15.8,15.8
17,Peter Forsberg\forsbpe01,32,PHI,C,11,0.85,0,0,1,2,0,19,56,75,21,,,,,,6.1,1.8,0.0,8.0
18,Marty Turco\turcoma01,30,DAL,G,5,0.39,0,0,1,0,0,0,2,2,0,41,19,5,2.55,.898,0.0,0.0,9.2,9.2
19,Zdeno Chara\charazd01,28,OTT,D,4,0.31,0,0,0,1,1,16,27,43,17,,,,,,3.6,4.5,0.0,8.1
19,Mike Modano\modanmi01,35,DAL,C,4,0.31,0,0,0,1,1,27,50,77,23,,,,,,5.6,2.8,0.0,8.4
21,Pavel Datsyuk\datsypa01,27,DET,C,3,0.23,0,0,0,1,0,28,59,87,26,,,,,,7.4,2.4,0.0,9.8
21,Simon Gagne\gagnesi01,25,PHI,LW,3,0.23,0,0,0,1,0,47,32,79,31,,,,,,8.3,2.5,0.0,10.8
21,Ryan Miller\millery01,25,BUF,G,3,0.23,0,0,0,1,0,0,2,2,0,30,14,3,2.60,.914,0.0,0.0,10.6,10.6
24,Sidney Crosby\crosbsi01,18,PIT,C,2,0.16,0,0,0,0,2,39,63,102,-1,,,,,,8.9,1.6,0.0,10.5
24,Ilya Kovalchuk\kovalil01,22,ATL,LW,2,0.16,0,0,0,0,2,52,46,98,-6,,,,,,9.8,1.4,0.0,11.2
26,Paul Kariya\kariypa01,31,NSH,LW,1,0.08,0,0,0,0,1,31,54,85,-6,,,,,,6.8,1.5,0.0,8.4
26,Chris Pronger\prongch01,31,EDM,D,1,0.08,0,0,0,0,1,12,44,56,2,,,,,,4.0,5.6,0.0,9.6
26,Brad Richards\richabr01,25,TBL,C,1,0.08,0,0,0,0,1,23,68,91,0,,,,,,5.6,2.4,0.0,8.0
26,Marek Svatos\svatoma01,23,COL,RW,1,0.08,0,0,0,0,1,32,18,50,0,,,,,,5.6,0.9,0.0,6.4
1,Martin St. Louis\stlouma01,28,TBL,RW,1016,96.76,97,5,1,2,0,38,56,94,35,,,,,,10.1,3.1,0.0,13.2
2,Jarome Iginla\iginlja01,26,CGY,RW,253,24.10,2,20,15,3,9,41,32,73,21,,,,,,8.0,3.1,0.0,11.1
3,Martin Brodeur\brodema01,31,NJD,G,213,20.29,2,14,11,11,7,0,0,0,0,38,26,11,2.03,.917,0.0,0.0,12.5,12.5
4,Miikka Kiprusoff\kiprumi01,27,CGY,G,193,18.38,0,19,7,7,4,0,1,1,0,24,10,4,1.69,.933,0.0,0.0,8.4,8.4
5,Markus Naslund\nasluma02,30,VAN,LW,176,16.76,0,11,10,13,10,35,49,84,24,,,,,,9.0,2.5,0.0,11.4
6,Roberto Luongo\luongro01,24,FLA,G,167,15.90,2,10,8,8,13,0,3,3,0,25,33,14,2.43,.931,0.0,0.0,20.9,20.9
7,Joe Sakic\sakicjo01,34,COL,C,144,13.71,0,6,9,15,12,33,54,87,11,,,,,,8.6,2.2,0.0,10.8
8,Marty Turco\turcoma01,28,DAL,G,87,8.29,0,3,8,6,8,0,1,1,0,37,21,13,1.98,.913,0.0,0.0,10.4,10.4
